Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Beef noodles and vegetables excluding carrots broccoli and dark-green leafy; soy-based sauce,10.32,7.49,1,0.000333333,0.051,0.089,2.097,0.202,0.014,0.00051,11.8,0,0.83,0.0245,18,83,15,1.19,1.73,0.082,0.000011,188,207,0
Beef noodles and vegetables including carrots broccoli and/or dark-green leafy; tomato-based sauce,6.74,13.74,1.5,0.006666667,0.151,0.11,1.976,0.119,0.047,0.00027,5.6,0.0001,1.05,0.0133,16,74,18,1.35,1.1,0.094,0.0000151,159,310,0
Beef noodles and vegetables excluding carrots broccoli and dark-green leafy; tomato-based sauce,6.77,14.86,1.4,0.003458333,0.15,0.113,2.049,0.114,0.046,0.00027,2.5,0.0001,0.85,0.0076,14,76,20,1.35,1.12,0.093,0.0000151,164,306,0
Beef noodles and vegetables including carrots broccoli and/or dark-green leafy; mushroom sauce,6.6,13.58,1.2,0.011416667,0.143,0.102,1.692,0.095,0.042,0.0003,3.5,0.0002,0.62,0.0153,25,76,15,1.06,1.03,0.065,0.0000148,104,303,0
Beef noodles and vegetables excluding carrots broccoli and dark-green leafy; mushroom sauce,6.63,14.63,1.1,0.008416667,0.141,0.104,1.76,0.091,0.041,0.0003,0.6,0.0002,0.43,0.01,23,79,17,1.06,1.05,0.064,0.0000148,108,310,0
Beef noodles and vegetables including carrots broccoli and/or dark-green leafy; gravy,6.65,13.81,1.1,0.006458333,0.152,0.107,1.799,0.1,0.045,0.00027,3.8,0.0001,0.62,0.012,15,72,15,1.12,1.06,0.069,0.0000151,92,305,0
Beef noodles and vegetables excluding carrots broccoli and dark-green leafy; gravy,6.68,14.94,1,0.00325,0.151,0.11,1.872,0.095,0.045,0.00027,0.7,0.0001,0.42,0.0063,13,75,17,1.12,1.08,0.068,0.0000151,97,305,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; no sauce,7.54,18.38,1,0.004458333,0.12,0.051,1.946,0.153,0.044,0.00031,5.1,0,0.73,0.0159,16,70,14,1.31,1.3,0.068,0.0000103,106,312,0
Beef rice and vegetables excluding carrots broccoli and dark-green leafy; no sauce,7.62,20,0.9,0.000166667,0.118,0.055,2.054,0.147,0.044,0.00031,0.9,0,0.4,0.0077,13,74,16,1.32,1.34,0.068,0.0000103,113,333,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; tomato-based sauce,5.85,14.9,1.1,0.0035,0.094,0.055,1.69,0.138,0.035,0.00022,5.6,0,1.12,0.0145,15,58,14,1.22,1.01,0.08,0.0000077,156,306,0
Beef rice and vegetables excluding carrots broccoli and/or dark-green leafy; tomato-based sauce,5.91,16.08,1,0.000375,0.093,0.058,1.769,0.134,0.034,0.00023,2.5,0,0.88,0.0085,13,61,16,1.22,1.04,0.08,0.0000077,162,302,0
Stuffed cabbage rolls with beef and rice,8.41,8.63,1.3,0.00775,0.056,0.1,1.907,0.186,0.024,0.00075,12.4,0.0001,0.52,0.0261,28,82,16,1.24,1.89,0.07,0.0000081,242,343,0
Stuffed grape leaves with beef and rice,7.83,11.32,3.1,0.015041667,0.062,0.144,2.24,0.19,0.032,0.00052,9.8,0,2.28,0.0702,99,92,36,1.87,1.73,0.187,0.0000063,219,322,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; mushroom sauce,5.78,14.69,0.9,0.008291667,0.09,0.05,1.43,0.114,0.031,0.00026,3.5,0.0002,0.67,0.0163,24,62,11,0.94,0.95,0.052,0.0000079,101,311,0
Beef rice and vegetables excluding carrots broccoli and dark-green leafy; mushroom sauce,5.81,15.73,0.8,0.005333333,0.088,0.053,1.497,0.109,0.03,0.00026,0.6,0.0002,0.49,0.0111,22,65,13,0.94,0.97,0.052,0.0000079,106,306,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; cheese sauce,8.58,15.54,0.8,0.026333333,0.104,0.105,1.542,0.129,0.037,0.00033,4,0.0003,0.31,0.0097,97,116,16,1.09,1.34,0.057,0.0000097,120,303,0
Beef rice and vegetables excluding carrots broccoli and dark-green leafy; cheese sauce,8.18,15.85,0.7,0.022,0.097,0.103,1.535,0.118,0.034,0.00031,0.8,0.0003,0.11,0.0038,90,113,17,1.04,1.29,0.054,0.0000092,119,302,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; gravy,5.77,15.01,0.8,0.003333333,0.095,0.052,1.516,0.12,0.033,0.00023,3.7,0,0.67,0.013,14,57,11,1,0.98,0.056,0.0000077,90,307,0
Beef rice and vegetables excluding carrots broccoli and dark-green leafy; gravy,5.8,16.13,0.7,0.000125,0.093,0.055,1.588,0.115,0.033,0.00023,0.7,0,0.47,0.0074,12,59,13,1,1,0.055,0.0000077,95,314,0
Beef rice and vegetables including carrots broccoli and/or dark-green leafy; soy-based sauce,10.59,8.03,1.1,0.005041667,0.072,0.086,2.152,0.215,0.025,0.00051,12.9,0,0.98,0.031,24,90,17,1.24,1.77,0.058,0.0000112,211,217,0
Beef rice and vegetables excluding carrots broccoli and dark-green leafy; soy-based sauce,10.79,7.8,0.8,0.000291667,0.072,0.092,2.368,0.221,0.021,0.00053,11.8,0,0.85,0.0199,18,88,17,1.35,1.82,0.087,0.0000118,192,212,0
Beef pot pie,7.99,17.09,1.2,0.037583333,0.16,0.14,2.052,0.12,0.031,0.00057,3.4,0,0.93,0.0109,11,82,15,1.55,1.11,0.073,0.0000119,167,396,0
Beef dumplings and vegetables including carrots broccoli and/or dark-green leafy; gravy,6.09,11.59,0.9,0.009583333,0.097,0.109,1.458,0.09,0.022,0.00028,3.8,0.0001,0.71,0.0135,72,78,10,1.06,0.89,0.043,0.0000083,103,306,0
Beef dumplings and vegetables excluding carrots broccoli and dark-green leafy; gravy,6.13,12.75,0.8,0.006375,0.096,0.112,1.534,0.085,0.021,0.00028,0.7,0.0001,0.49,0.0076,70,81,12,1.06,0.92,0.042,0.0000083,109,301,0
Stuffed green pepper Puerto Rican style,8.63,15.56,2.1,0.001708333,0.163,0.141,2.75,0.213,0.02,0.00058,37.4,0,0.76,0.0065,45,98,23,1.91,1.75,0.135,0.0000091,315,634,0
Ham pot pie,7.99,18.48,1.3,0.003,0.243,0.158,2.771,0.131,0.033,0.00013,3.9,0.0002,0.9,0.0097,13,97,15,1.38,0.78,0.081,0.0000135,186,622,0
Ham or pork noodles and vegetables excluding carrots broccoli and dark-green leafy; no sauce,8.42,18.31,1.4,0.004333333,0.367,0.16,2.527,0.147,0.058,0.00019,1,0.0002,0.36,0.0068,16,104,23,1.23,0.96,0.083,0.0000209,147,313,0
Ham or pork noodles and vegetables including carrots broccoli and/or dark-green leafy; no sauce,8.35,16.74,1.5,0.008666667,0.368,0.156,2.422,0.153,0.059,0.00019,5.2,0.0002,0.67,0.0147,19,100,21,1.22,0.92,0.084,0.0000209,140,302,0
Ham or pork noodles and vegetables excluding carrots broccoli and dark-green leafy; cheese sauce,9.18,15.32,1.1,0.026166667,0.289,0.187,1.963,0.123,0.046,0.00024,0.9,0.0004,0.14,0.0037,97,141,23,1.02,1.07,0.068,0.0000176,150,301,0
Pork potatoes and vegetables including carrots broccoli and/or dark-green leafy; no sauce,6.55,13.44,1.8,0.004458333,0.249,0.084,1.933,0.283,0.013,0.00013,9.5,0.0001,0.74,0.0176,16,78,20,0.52,0.69,0.123,0.0000066,310,316,0
Ham or pork noodles and vegetables including carrots broccoli and/or dark-green leafy; tomato-based sauce,6.48,13.75,1.5,0.006666667,0.278,0.132,2.049,0.139,0.046,0.00014,5.7,0.0001,1,0.0129,18,81,19,1.16,0.74,0.092,0.0000156,182,314,0
